Name,URL,Price,Revenue,Income,Type,Status,Description_x,Location,Region,Description_y,SDE,Multiple,Currency,EBITDA
Iconic West Coast Culinary Destination,https://businessexits.com/listing/iconic_wc_culinary_destination/,3500000.0,3881537.0,1026300.0,"Restaurant/Food, Retail",,,,all,"A well-established culinary destination in British Columbia, boasting a remarkable 25-year legacy of serving exceptional breakfast, lunch, and dessert offerings across two locations is for sale. This thriving enterprise has cultivated an impressive reputation, consistently maintaining above-average ratings and demonstrating strong financial performance. Breakfast, lunch, and beverages combined are approximately 86% of total revenue, with an average sale of $25 per customer.  Gift shop sales account for 14% of the revenue.
The operation’s success is particularly pronounced during the summer months when tourism peaks in British Columbia, creating enhanced revenue opportunities. Beyond its core restaurant operations, the company has diversified its revenue streams through a gift shop featuring its own distinctive product line, adding significant value to the business model. The establishment’s operational stability is further reinforced by a key employee who has demonstrated the potential for advancement to a General Manager position, ensuring continuity of operations and maintaining high service standards.
For prospective buyers, the business represents an exciting opportunity, though several regulatory requirements must be met to ensure successful operation. These include obtaining a valid liquor license, FoodSafe BC certification, and recommended first aid certification. These requirements, while comprehensive, are standard in the industry and support the maintenance of the company’s established high standards.  The presence of multiple revenue streams, strong average sales figures, and established operational systems positions this business as an attractive investment opportunity in British Columbia’s vibrant hospitality sector.","$1,026,300",3.4x,USD,
Texas Family Entertainment Venues,https://businessexits.com/listing/tx_family_entertainment/,3500000.0,50000002025.0,16000002025.0,"Restaurant/Food, Service",,,,all,"For sale are two complementary, high-performing entertainment businesses located in a high-traffic retail and entertainment complex in Texas. One business is a modern family fun center featuring bowling, arcade games, and a full-service restaurant and bar, operating for approximately three years. The second is a unique, interactive aquarium offering live animal exhibits and educational experiences, launched in 2024. Together, they create a dynamic destination with strong repeat traffic and multiple revenue streams catering to families, schools, and event groups.
Combined 2025 revenue is estimated at $5M, with estimated 2025 earnings of $1.6M.   While these figures are down from 2024, the dip is expected due to the typical boost experienced during a grand opening year, followed by normalized performance.
The businesses are fully licensed and compliant, including USDA animal handling permits and food and liquor licenses. They are supported by a key staff member – a maintenance and operations manager, and trained employees across both locations.  Ideal buyers will have operational or hospitality experience. Significant growth potential exists through arcade equipment ownership (eliminating revenue share), professionalized marketing, and expansion into new markets.
",,2.2x,USD,
"Government Contracted Military Promotional Products Business. Remote, Low Workload, Dropshipping, USA Manufacturing.",https://businessexits.com/listing/government_contracted_promotional_products/,3500000.0,8179278.0,787952.0,"Retail, Service",,,,all,,"$787,952",4.4x,USD,
SoCal B2B Screen Printing w/Over $1M in SDE,https://businessexits.com/listing/b2b_screen_printing/,3100000.0,579202320232024.0,92121420232024.0,Service,Sale Pending,,,all,"For sale is a 17-year-old Southern California screen printing business that produces designs on apparel and bags and operates entirely in the B2B space. The company’s clients are around 70% large-scale Ecommerce and brick and mortar clothing stores and 30% corporations.
They have over 100 active customers and 80% are repeat clients who order anywhere from daily to monthly. Most of the clients have been with the business for 5-10+ years, though they do experience a lot of new customer traffic via walk-ins and referrals.
The top three customers represent around 80% of revenue (15%, 15% and 50% respectively). The two smaller customers have been with the business for 3 years (one is a music label that recives products for both artist tours and online merchandise) and the 50% revenue customer has been with the business for 15+ years. It should be noted that the largest customer is a broker who only works for this company and is an intermediary to about half a dozen department stores. The other remaining clients representing 20% of revenue are fairly evenly spread-out.
In the past year they have introduced a new system that was custom built to internally manage operations and also has automated invoicing capabilities that has optimized workflow processes across all departments.
They have an office/retail walk-in as well as a 10,000 square foot warehouse where over $1.7M in machinery (entirely paid-off and mostly 2-3 years old) is housed. The owner is looking to exit completely but is open to a long transition and the operations manager would be amenable to staying on and running the company day-to-day so that a buyer could focus on growth and expansion.
","$1,274,191",3.3x,USD,
Specialized Canadian Recruitment Agency,https://businessexits.com/listing/recruitment_agency/,3000000.0,2283323.0,763741.0,Service,Sale Pending,,,all,"For sale is a 100% remote 14-year-old Specialized Recruitment Agency that focuses mainly on intermediate to executive-level positions within the Canadian Construction, Architecture, Engineering, Energy, and Manufacturing sectors. With an active and passive network of over 70k professionals, the agency has a stellar track record of placing candidates in management positions with the most sought-after companies across Canada.
The business primarily focuses on permanent placements, entering into formal contracts with clients to offer employment search services. It operates with three compensation models, all based on a percentage of the position’s salary, typically ranging from 18% to 30%. Serving over 70 clients annually, with 75% being repeat customers, the business averages over $30,000 in revenue per client.
The business’s revenue and profits significantly jumped in 2021 due to more than doubling the number of recruiters. The company has a business support manager and a team of 24 experienced recruiters across Canada.
The owners look forward to spending more time with family but are open to remaining part of the business for an extended transition or equity partnership. In addition, they are confident the team will stay with the business post-sale. Excellent people-management skills are necessary for a buyer.","$399,370",3.9x,USD,
Souvenir Gifts Manufacturer,https://businessexits.com/listing/souvenir_gifts_manufacturer/,2900000.0,2873250.0,792311.0,Wholesale/Distribution,Sale Pending,,,all,"For sale is a 37-year-old souvenir gifts manufacturer with items that are stocked in souvenir shops, gift stores, airport stores, truck stops, and boutiques across the country (in every state). They are best known in the industry for their personalized and non-personalized products. They have laser engraving machines that allow them the ability to customize and eliminate long lead times or high minimums; they also have several finished products for quick and easy shipping. They manufacture everything internally so there are no supply chain issues.
The business recently secured orders from two of the nation’s largest truck stop chains to be stocked in potentially more than 500 locations by the end of 2025 (a partnership that will bring in significantly more revenue), and has also brought on additional national clients recently.
The owners’ son-in-law is the GM and runs the day-to-day operations; he is excited to stay on with the company long-term and help a buyer scale and grow.
","$792,311",3.6x,USD,
Maryland Residential HVAC Solutions,https://businessexits.com/listing/maryland_residential_hvac/,2600000.0,531435520222024.0,63735720222024.0,Service,Sale Pending,,,all,"For sale is a well-established HVAC company with over 25 years of experience, specializing in heating, air conditioning, and indoor air quality services for residential and retail customers in Maryland. The company provides a comprehensive range of services, including new system installations, repairs, maintenance agreements, and ductless mini-splits.
Revenue is split between 70% residential new construction and 30% service and replacement. The company has strong relationships with over 20 home builders, ensuring a steady pipeline of new construction projects, while also maintaining a solid direct-to-customer retail presence. Additionally, there are nearly 400 maintenance agreements in place, providing a reliable source of recurring revenue.
At the end of 2023, the company transitioned away from commercial projects to focus exclusively on residential services after determining that commercial work was not profitable. Although this shift led to a temporary revenue decline, the business became significantly more profitable, as residential services yielded higher margins despite a reduced workload.
The business is supported by an experienced team with long-term tenure and structured compensation models. On average, revenue per new construction home is $15,000 – $20,000, while service and replacement jobs generate between $10,000 – $15,000 per project.
The buyer must hold an HVAC license in Maryland to operate the business. Alternatively, a current employee can take the HVAC licensing exam and become certified, allowing for a seamless transition of ownership while maintaining compliance with state regulations.
","$593,876",4x,USD,
Luxury Residential Designer and Remodeler,https://businessexits.com/listing/luxury_design_remodeler/,2500000.0,213538220222024.0,72666420222024.0,"Construction, Service",,,,all,"Founded in 2019, this business is a premier residential design-build firm serving the California Bay Area. Operating with a remote business model, the company specializes in comprehensive design and remodeling services including additions, ADUs, kitchen and bathroom renovations, and foundation work. While primarily focused on residential projects, the firm selectively handles commercial work.
With an impressive average client order value of $360,000-$380,000, the company efficiently manages 10-12 concurrent projects. Clients remit payment upon completion of each project phase. The business has garnered recognition in major publications and grown predominantly through client referrals.
The business peaked in 2022 and dropped in 2023 when they took out a loan to scale operations during growth. Large contracts take 1.5-2 years to finalize. 2024 was slower due to election year uncertainty, as confirmed by other contractors, but still delivered good net profit. They expect significant growth in 2025.
The company employs four W2s, one 1099 staff member, and subcontractors for construction work, all expected to remain post-acquisition. While the current owner plans to focus on their other business, they’ve offered to provide consulting services during the transition period.




",,3.3x,USD,
Remote Research Agency with 50% Net Margins and SBA Eligibility,https://businessexits.com/listing/remote_research_agency_sba_eligibility/,2200000.0,1296067.0,700605.0,Marketing & Consulting,Sale Pending,,,all,"(SBA Eligible) The company for sale is a remote full-service research organization with over 30 years of experience. It offers Qualitative Research, Quantitative Research, Multivariate Statistical Modeling, Economic Analysis, and Artificial Intelligence methodologies to longstanding and new clients. The company combines big agency talent with a personal touch, providing customers with the best of both worlds – and enjoys 50% net margins for the work.
Specifically, their work spans from guiding positioning and branding, to conducting customer evaluations, needs assessments, competitor analysis, brand evaluations, and brand tracking. They also excel in advertising studies, customer experience research, and statistically driven analyses such as market size, pricing, satisfaction, and segmentation, covering a broad spectrum of industries.
The company’s growth strategy is built on strong relationships, as it works with individual companies and agencies, and partners with another marketing firm on many projects annually. The company services a diverse client base, including restaurants, healthcare, financial, and insurance companies, both large and small. Projects typically range from $10k to $300k, and they rarely accept projects less than $10k. There is a sales channel partnership that accounts for about 40% of the revenue.
The virtual team includes one W2 employee and nearly 50 domestic and international contractors. The seller is open to leaving the company entirely or working part-time.","$700,605",3.14x,USD,
Medspa Consulting Business,https://businessexits.com/listing/medspa_consulting_business/,2000000.0,3059611.0,1859883.0,Marketing & Consulting,,,,all,"This two-year-old consulting group offers startup packages for entrepreneurs to open their first medspa. The one-time packages are $49k-65k. By providing an exclusive suite of services including a proprietary doctor network, state compliance guidance, and operational support, the business enables clients—60% experienced and 40% first-time owners—to launch fully-compliant clinics in any state.
With an average revenue of $50K per client and six to ten clients monthly, the consulting group presents a unique investment opportunity characterized by streamlined systems, minimal owner involvement, and substantial growth potential. Their niche expertise distinguishes them from competitors by offering non-doctors a meticulously structured pathway to clinic ownership, supported by robust resources and networks.
No licenses are required. The business is currently training up 1-3 commission-only reps to continue selling in lieu of the owner.
Why is the owner selling for such a low price? 1) he has to divest this in order to pursue his medspa franchising opportunity he’s working on, and 2) the business is not SBA eligible.
The buyer basically purchases a business that generates 100-150 qualified leads per month (from the outsourced marketing group) and the team and tools to convert those leads to the $50k consulting packages. The entrepreneur customers are happy to pay for a package to kickstart their weight loss clinic.
",,1x,USD,
New Jersey HVAC-R and Lead Remediation Company,https://businessexits.com/listing/nj_hvacr_lead_remediation/,1400000.0,3342373.0,402471.0,"Construction, Service",,,,all,"For sale is a 44-year-old HVAC, refrigeration, and environmental abatement company in New Jersey. The company is in an industry-rich area within an hour’s drive of Manhattan, NY. It offers HVAC and refrigeration services for commercial, industrial, and public facilities. Environmental services such as lead remediation and asbestos abatement are provided to various Health Departments, schools, and residential properties.
Revenue per job ranges from $1K to $10K. Currently, there are 5 HVAC preventative maintenance contracts in place. HVAC and refrigeration account for 65% of the revenue and lead remediation accounts for approximately 35%. Earnings were down in 2021 due to added expenses from the Covid pandemic. In July of 2022, a new law regarding lead-based paint in rental properties went into effect. The law requires all non-exempt NJ rental properties to complete their initial Lead Safe Certification inspection upon their first turnover or within two years of the effective date. These inspections increased demand for lead remediation and made 2023 a profitable year.
Support staff members include an office manager, an HVACR service manager, an HVACR manager, and on-site supervisors. Some of the staff are long-term employees, and the owners believe the employees will remain with the buyer. The owner will need an HVACR license or compensate an employee who also holds the license. General business, management skills, and construction knowledge would be beneficial.","$402,471",3.5x,USD,
Lead Generation Affiliate Marketing Company,https://businessexits.com/listing/affiliate_marketing_co/,1300000.0,319430920212023.0,34543720212023.0,"Marketing & Consulting, Software/SaaS",Sale Pending,,,all,"For sale is a lead generation business in the affiliate marketing space that offers products around the theme of “business in a box.” They are 100% remote and provide an all-in-one solution to people looking to start marketing their new or existing business online. They also sell data to other affiliate marketing businesses looking to use this information to market their own products and services.
50% of revenue is generated from product sales and 50% from selling leads (repeat buyers who order each week dating back a decade). All sales are one-time only (different initial one-time price points) with different upsell offers. Overall, they have a 32.5% upsell conversion rate.
They have approximately 100,000 customers and also have a large email list of approximately 800,000 subscribers, with a large portion of them being buyers or partials (i.e., people who showed intent, filled out some info and then left the page). The business has approximately 125 sub-affiliates, each of which are different traffic sources that are tracked independently. 2022 revenue and profits were down due to increased R&D spend.
The owners would like to focus on other entrepreneurial pursuits , but are open to staying on a period of time as consultants or minority equity owners. There are no specific skills or licenses needed to run the business. Basic knowledge of computers and the ability to manage a small team would be helpful for a buyer.
","$250,690",3.7x,USD,
Southeast Fireplace Store,https://businessexits.com/listing/southeast_fireplace_store/,1300000.0,24983863.0,4131033.0,"Retail, Service",Sale Pending,,,all,"A 27-year-old fireplace and accessory store with two locations in the Appalachian mountains is for sale. The company serves homeowners looking to enhance their living spaces with quality heating and outdoor products. Products offered include wood fireplaces, wood burning inserts, wood stoves, gas fireplaces, gas stoves, gas inserts, gas logs, pellet stoves, pellet inserts, outdoor fireplaces, grills, Viking appliances, and accessories.
The company does minimal advertising. Most of the growth comes from word-of-mouth and general contractor referrals. The company experiences two peak seasons. One is in the spring and summer months, with clients building new construction homes, and the other is in fall/early winter during the heating season. With pricing similar to competitors, the average fireplace order in 2023 ranged from $8 to $12K.
There are 4 employees, including 2 managers, remaining with the buyer. No specific licenses or skills are required for the buyer; however, general business acumen and construction knowledge would be beneficial.
","$408,819",3.14x,USD,
Roofing and Exterior Services Company,https://businessexits.com/listing/roofing_services_co/,1100000.0,196487420222024.0,41327120222024.0,"Construction, Service",Sale Pending,,,all,"Founded in 2010, this established Colorado-based business specializes in roofing, siding, gutters, and interior/exterior painting. Additionally, the company offers window and fencing installation as part of its comprehensive storm damage restoration services.
The client base consists of 98% residential customers and 2% light commercial clients, including churches and townhouse complexes. The business primarily operates on an insurance-funded model, with 95% of payments coming through insurance claims.This company maintains low overhead costs as it does not keep an inventory or warehouse. Instead, it relies on suppliers to deliver products as needed, and the owner manages the business from a home office.
A subcontractor-based model is utilized, with all work performed by 1099 subcontracted crews. The business also employs another 1099 worker who manages sales and oversees daily operations. This key team member intends to remain with the business post-sale, ensuring continuity in client relationships and operations.
A new owner may need to complete licensing exams depending on the location of operations. To facilitate a smooth transition, the current owner is willing to stay involved for the necessary period to help the buyer meet licensing requirements.
This listing requires seller approval for the CIM. We appreciate your patience as we receive approval and we will send you the CIM as soon as possible.
","$652,890",2.6x,USD,
Rain Gutter and Sheet Metal Installation,https://businessexits.com/listing/rain_gutter_sheet_metal_install/,1100000.0,199440720222023.0,30781620222023.0,"Construction, Manufacturing",Sale Pending,,,all,"For sale is a 39-year-old California company offering custom rain gutters and sheet metal work in the Orange County coastal region. They install copper, aluminum, and some steel rain gutters and downspouts for residential customers and roof metals, deck metals, window and door flashings, fireplace caps and shrouds, fascia cladding, and foundation metals for builders, commercial, and Homeowners’ Associations.
Sheet Metal accounts for approximately 60% of revenue, and rain gutters for 40%. Charging higher prices than competitors enables the company to focus on the quality of work over the quantity of work. Even with premium pricing, they are turning away work. Revenue increased in 2023, but overall earnings decreased because of building repairs that were paid through the company account and a truck purchase.
The current owners have started training employees to take over their tasks and are minimally involved in day-to-day operations. Several key employees, including supervisors, project managers, and a shop foreman, will remain with the buyer. Although there is no general manager in place, the owners feel two current employees could fill this role. The buyer will need a contractor’s license or have one of the employees serve as RMO to operate the company successfully.","$293,842",3.6x,USD,
USA Manufacturer of Food Production Equipment,https://businessexits.com/listing/food_production_manu/,1100000.0,669272020232024.0,30800920232024.0,Manufacturing,,,,all,"Founded in 1998, this business is a trusted manufacturer of industry-leading food processing equipment, serving a range of sectors including seafood, meat, poultry, agriculture, and dairy. Known for its innovation and engineering versatility, the company offers a broad portfolio of machinery —including patented designs—serving clients across multiple continents. Typical orders range from $100,000 to $300,000, with standard lead times of approximately eight weeks for equipment production.
SDE fluctuations stemmed largely from the broader financial impact of COVID-19 and an industry-wide overcorrection. Many companies faced similar financial strain, leading to a slow recovery. Although initial optimism returned when interest rates dropped, the later rise in rates revealed the unsustainability of debt-driven operations, causing sales to decline and recovery efforts to stall. However, the business is now back on track. The company is well-positioned for renewed growth and long-term stability with a more balanced customer mix, new product lines, and strengthened financial discipline.
The business employs a dedicated team of approximately 16 staff members, with most employees having been with the company for over a decade, reflecting a strong culture and low turnover. The owner is confident that the entire team will remain in place post-sale. Although the current owner intends to eventually exit, they are willing to remain in a transitional or advisory role to support the next phase of growth.
","$460,235",3.5x,USD,
Security Guard Service Company,https://businessexits.com/listing/security_guard_company/,750000.0,3187599.0,252225.0,Service,Sale Pending,,,all,"For Sale is a 5-year-old professional security guard service company in Phoenix, Arizona. The company provides security guards, private investigation, and consulting services, with security guard services comprising 95% of revenue.
The company has large multi-year contracts with the government and various businesses (i.e., schools, large commercial real estate companies, hotels, hospitals, professional sports venues, and more). Government contracts range from three to five years, and private contracts fluctuate depending on terms, with larger projects passing the three-year mark. During the pandemic, the business experienced an increase in sales of approximately 3,000 hours per week, which has since normalized to 1,800-2,100 hours per week.
The business has a staff of 70-80 consisting of security guards and 7 key personnel experts in their respective fields. The number of security guards fluctuates according to turnovers and assignments, and the COO is trained to run daily operations. The owner is confident they will stay with the business post-sale.
A new owner needs people management skills and knowledge of HR practices. A background in security isn’t necessary, but it would be helpful, and a security license would need to be acquired. If a new owner chooses to continue private investigation and consulting services, they would need a PI license and training in consulting work or hire someone with the necessary expertise.
","$252,225",3.6x,USD,
